Date-Heure,Temp1,Temp2,Humid
1609519500000,8,-3,85
1609520400000,13,-5,50
1609521300000,3,-25,70
1609522200000,7,-2,60
1609523100000,18,-5,50
1609524000000,7,-25,70
1609524900000,24,-2,60
1609525800000,3,-13,40
1609526700000,3,-24,55
1609527600000,16,-15,65
1609528500000,2,-9,45
1609529400000,7,-24,35
1609530300000,19,-15,30
1609531200000,23,-17,75
1609532100000,19,-6,80
1609533000000,23,-3,85
1609533900000,23,-5,50
1609534800000,8,-25,70
1609535700000,10,-2,60
1609536600000,24,-5,50
1609537500000,20,-25,70
1609538400000,17,-2,60
1609539300000,12,-13,40
1609540200000,21,-24,55
1609541100000,5,-15,65
1609542000000,1,-9,45
1609542900000,24,-24,35
1609543800000,15,-15,30
1609544700000,0,-17,75
1609545600000,9,-6,80
1609546500000,20,-3,85
1609547400000,21,-5,50
1609548300000,3,-25,70
1609549200000,0,-2,60
1609550100000,14,-5,50
1609551000000,19,-25,70
1609551900000,1,-2,60
1609552800000,24,-13,40
1609553700000,17,-24,55
1609554600000,21,-15,65
1609555500000,10,-9,45
1609556400000,0,-24,35
1609557300000,9,-15,30
1609558200000,14,-17,75
1609559100000,19,-6,80
1609560000000,10,-3,85
1609560900000,10,-5,50
1609561800000,24,-25,70
1609562700000,2,-2,60
1609563600000,8,-5,50
1609564500000,21,-25,70
1609565400000,24,-2,60
1609566300000,14,-13,40
1609567200000,7,-24,55
1609568100000,18,-15,65
1609569000000,19,-9,45
1609569900000,10,-24,35
1609570800000,15,-15,30
1609571700000,22,-17,75
1609572600000,10,-6,80
1609573500000,9,-3,85
1609574400000,2,-5,50
1609575300000,20,-25,70
1609576200000,12,-2,60
1609577100000,18,-5,50
1609578000000,1,-25,70
1609578900000,9,-2,60
1609579800000,5,-13,40
1609580700000,19,-24,55
1609581600000,12,-15,65
1609582500000,2,-9,45
1609583400000,21,-24,35
1609584300000,14,-15,30
1609585200000,0,-17,75
1609586100000,18,-6,80
1609587000000,15,-3,85
1609587900000,8,-5,50
1609588800000,0,-25,70
1609589700000,21,-2,60
1609590600000,11,-5,50
1609591500000,21,-25,70
1609592400000,24,-2,60
1609593300000,22,-13,40
1609594200000,9,-24,55
1609595100000,25,-15,65
1609596000000,25,-9,45
1609596900000,6,-24,35
1609597800000,17,-15,30
1609598700000,15,-17,75
1609599600000,13,-6,80
1609600500000,1,-3,85
1609601400000,22,-5,50
1609602300000,3,-25,70
1609603200000,2,-2,60
1609604100000,6,-5,50
1609605000000,9,-25,70
1609605900000,11,-2,60
1609606800000,23,-13,40
1609607700000,16,-24,55
1609608600000,6,-15,65
1609609500000,21,-9,45
1609610400000,13,-24,35
1609611300000,13,-15,30
1609612200000,18,-17,75
1609613100000,0,-6,80
1609614000000,18,-3,85
1609614900000,23,-5,50
1609615800000,14,-25,70
1609616700000,9,-2,60
1609617600000,9,-5,50
1609618500000,5,-25,70
1609619400000,21,-2,60
1609620300000,15,-13,40
1609621200000,3,-24,55
1609622100000,16,-15,65
1609623000000,6,-9,45
1609623900000,16,-24,35
1609624800000,20,-15,30
1609625700000,8,-17,75
1609626600000,7,-6,80
1609627500000,16,-3,85
1609628400000,0,-5,50
1609629300000,24,-25,70
1609630200000,24,-2,60
1609631100000,25,-5,50
1609632000000,5,-25,70
1609632900000,19,-2,60
1609633800000,16,-13,40
1609634700000,2,-24,55
1609635600000,4,-15,65
1609636500000,19,-9,45
1609637400000,18,-24,35
1609638300000,14,-15,30
1609639200000,14,-17,75
1609640100000,22,-6,80
1609641000000,5,-3,85
1609641900000,25,-5,50
1609642800000,7,-25,70
1609643700000,6,-2,60
1609644600000,11,-5,50
1609645500000,7,-25,70
1609646400000,2,-2,60
1609647300000,5,-13,40
1609648200000,21,-24,55
1609649100000,25,-15,65
1609650000000,9,-9,45
1609650900000,0,-24,35
1609651800000,7,-15,30
1609652700000,10,-17,75
1609653600000,16,-6,80
1609654500000,21,-3,85
1609655400000,8,-5,50
1609656300000,24,-25,70
1609657200000,8,-2,60
1609658100000,21,-5,50
1609659000000,1,-25,70
1609659900000,0,-2,60
1609660800000,5,-13,40
1609661700000,16,-24,55
1609662600000,12,-15,65
1609663500000,19,-9,45
1609664400000,14,-24,35
1609665300000,15,-15,30
1609666200000,15,-17,75
1609667100000,19,-6,80
1609668000000,9,-3,85
1609668900000,0,-5,50
1609669800000,1,-25,70
1609670700000,4,-2,60
1609671600000,18,-5,50
1609672500000,3,-25,70
1609673400000,5,-2,60
1609674300000,18,-13,40
1609675200000,3,-24,55
1609676100000,0,-15,65
1609677000000,11,-9,45
1609677900000,12,-24,35
1609678800000,4,-15,30
1609679700000,13,-17,75
1609680600000,6,-6,80
1609681500000,10,-3,85
1609682400000,14,-5,50
1609683300000,19,-25,70
1609684200000,8,-2,60
1609685100000,21,-5,50
1609686000000,21,-25,70
1609686900000,12,-2,60
1609687800000,6,-13,40
1609688700000,19,-24,55
1609689600000,13,-15,65
1609690500000,19,-9,45
1609691400000,23,-24,35
1609692300000,2,-15,30
1609693200000,14,-17,75
1609694100000,8,-6,80
1609695000000,16,-3,85
1609695900000,9,-5,50
1609696800000,22,-25,70
1609697700000,22,-2,60
1609698600000,21,-5,50
1609699500000,12,-25,70
1609700400000,19,-2,60
1609701300000,1,-13,40
1609702200000,22,-24,55
1609703100000,24,-15,65
1609704000000,24,-9,45
1609704900000,14,-24,35
1609705800000,16,-15,30
1609706700000,1,-17,75
1609707600000,0,-6,80
1609708500000,19,-3,85
1609709400000,10,-5,50
1609710300000,19,-25,70
1609711200000,21,-2,60
1609712100000,2,-5,50
1609713000000,11,-25,70
1609713900000,0,-2,60
1609714800000,18,-13,40
1609715700000,23,-24,55
1609716600000,12,-15,65
1609717500000,20,-9,45
1609718400000,9,-24,35
1609719300000,6,-15,30
1609720200000,5,-17,75
1609721100000,20,-6,80
1609722000000,4,-3,85
1609722900000,18,-5,50
1609723800000,22,-25,70
